Density,Time
0,1583
0,618
0,0
0,343
0,0
0,0
0,418
0,0
0,1775
0,0
0,362
0,781
0,347
0,246
0,78
0,157
0,139
0,831
0,0
0,996
1,227
1,1103
1,0
1,1040
1,1788
1,0
1,1676
1,287
1,1506
1,0
1,253
1,50
1,94
1,14
1,1746
1,1358
1,0
1,511
1,580
1,888
1,1392
2,0
2,913
2,1479
2,490
2,182
2,1795
2,811
2,577
2,45
2,366
2,29
2,233
2,1572
2,0
2,1504
2,1787
2,249
2,1485
2,408
2,0
5,1007
5,960
5,978
5,79
5,268
5,0
5,1472
5,801
5,0
5,0
5,1561
5,606
5,133
5,1031
5,1798
5,1680
5,0
5,657
5,269
5,627
5,1010
11,1288
11,1416
11,308
11,1068
11,1775
11,1215
11,1181
11,1463
11,136
11,1364
11,0
11,579
11,1299
11,874
11,722
11,518
11,1798
11,1527
11,592
11,147
11,1617
11,1767
32,0
32,597
32,0
32,0
32,609
32,1259
32,107
32,1540
32,628
32,0
32,1597
32,0
32,1760
32,1682
32,1634
32,1592
